source,target,value
Chris Bosh,Josh Harrellson,1
Chris Duhon,Glen Davis,1
Byron Mullens,Darius Morris,2
Austin Daye,Jerryd Bayless,1
D.J. White,Jeff Green,1
Kobe Bryant,Wesley Johnson,1
Courtney Lee,Darius Morris,1
Dirk Nowitzki,Jae Crowder,2
Cody Zeller,Ramon Sessions,1
Andre Roberson,Nick Collison,1
Spencer Hawes,Tristan Thompson,1
Ryan Anderson,Tyreke Evans,1
Courtney Fortson,Solomon Jones,1
Dahntay Jones,David West,1
Jared Dudley,Luis Scola,1
John Lucas,Ronnie Brewer,1
Rodney Stuckey,Tayshaun Prince,2
Darius Morris,James Nunnally,1
C.J. McCollum,Robin Lopez,1
C.J. Miles,Earl Clark,1
James Anderson,Manu Ginobili,2
Blake Griffin,Chauncey Billups,2
Ben Gordon,D.J. White,1
LeBron James,Toney Douglas,1
Markieff Morris,Wesley Johnson,1
Andrew Nicholson,Glen Davis,2
James Johnson,Seth Curry,1
Gustavo Ayon,Samuel Dalembert,1
Marcin Gortat,Trevor Booker,1
Bernard James,Eddy Curry,1
Luke Walton,Troy Murphy,1
Andrew Goudelock,Chris Duhon,1
Jamaal Tinsley,Jeremy Evans,3
Ben Gordon,Charlie Villanueva,1
Ricky Rubio,Wesley Johnson,1
Jerry Smith,Jordan Williams,1
Andray Blatche,Jerry Stackhouse,1
Josh Selby,Marreese Speights,2
Dominique Jones,Yi Jianlian,1
Aaron Gray,Carl Landry,1
