Link,Game ID,Away Team,Away Long,Away Score,Home Team,Home Long,Home Score,OT Ind
http://www.basketball-reference.com/boxscores/201103180IND.html,201103180IND,CHI,Chicago Bulls,108,IND,Indiana Pacers,115,OT
http://www.basketball-reference.com/boxscores/201103180LAL.html,201103180LAL,MIN,Minnesota Timberwolves,98,LAL,Los Angeles Lakers,106,RG
http://www.basketball-reference.com/boxscores/201103180MIL.html,201103180MIL,NJN,New Jersey Nets,95,MIL,Milwaukee Bucks,110,RG
http://www.basketball-reference.com/boxscores/201103180OKC.html,201103180OKC,CHA,Charlotte Bobcats,82,OKC,Oklahoma City Thunder,99,RG
http://www.basketball-reference.com/boxscores/201103180ORL.html,201103180ORL,DEN,Denver Nuggets,82,ORL,Orlando Magic,85,RG
http://www.basketball-reference.com/boxscores/201103180PHO.html,201103180PHO,GSW,Golden State Warriors,97,PHO,Phoenix Suns,108,RG
http://www.basketball-reference.com/boxscores/201103180SAC.html,201103180SAC,PHI,Philadelphia 76ers,102,SAC,Sacramento Kings,80,RG
http://www.basketball-reference.com/boxscores/201103180TOR.html,201103180TOR,WAS,Washington Wizards,107,TOR,Toronto Raptors,116,RG
http://www.basketball-reference.com/boxscores/201103190LAC.html,201103190LAC,CLE,Cleveland Cavaliers,92,LAC,Los Angeles Clippers,100,RG
http://www.basketball-reference.com/boxscores/201103190MEM.html,201103190MEM,IND,Indiana Pacers,78,MEM,Memphis Grizzlies,99,RG
http://www.basketball-reference.com/boxscores/201103190MIA.html,201103190MIA,DEN,Denver Nuggets,98,MIA,Miami Heat,103,RG
http://www.basketball-reference.com/boxscores/201103190NOH.html,201103190NOH,BOS,Boston Celtics,89,NOH,New Orleans Hornets,85,RG
http://www.basketball-reference.com/boxscores/201103190POR.html,201103190POR,PHI,Philadelphia 76ers,101,POR,Portland Trail Blazers,110,RG
http://www.basketball-reference.com/boxscores/201103190SAS.html,201103190SAS,CHA,Charlotte Bobcats,98,SAS,San Antonio Spurs,109,RG
http://www.basketball-reference.com/boxscores/201103200ATL.html,201103200ATL,DET,Detroit Pistons,96,ATL,Atlanta Hawks,104,RG
http://www.basketball-reference.com/boxscores/201103200DAL.html,201103200DAL,GSW,Golden State Warriors,73,DAL,Dallas Mavericks,101,RG
http://www.basketball-reference.com/boxscores/201103200HOU.html,201103200HOU,UTA,Utah Jazz,108,HOU,Houston Rockets,110,RG
http://www.basketball-reference.com/boxscores/201103200LAC.html,201103200LAC,PHO,Phoenix Suns,108,LAC,Los Angeles Clippers,99,RG
http://www.basketball-reference.com/boxscores/201103200LAL.html,201103200LAL,POR,Portland Trail Blazers,80,LAL,Los Angeles Lakers,84,RG
http://www.basketball-reference.com/boxscores/201103200MIL.html,201103200MIL,NYK,New York Knicks,95,MIL,Milwaukee Bucks,100,RG
http://www.basketball-reference.com/boxscores/201103200MIN.html,201103200MIN,SAC,Sacramento Kings,127,MIN,Minnesota Timberwolves,95,RG
http://www.basketball-reference.com/boxscores/201103200OKC.html,201103200OKC,TOR,Toronto Raptors,95,OKC,Oklahoma City Thunder,93,RG
http://www.basketball-reference.com/boxscores/201103200WAS.html,201103200WAS,NJN,New Jersey Nets,92,WAS,Washington Wizards,98,RG
http://www.basketball-reference.com/boxscores/201103210CHI.html,201103210CHI,SAC,Sacramento Kings,92,CHI,Chicago Bulls,132,RG
http://www.basketball-reference.com/boxscores/201103210CLE.html,201103210CLE,ORL,Orlando Magic,97,CLE,Cleveland Cavaliers,86,RG
http://www.basketball-reference.com/boxscores/201103210DEN.html,201103210DEN,TOR,Toronto Raptors,90,DEN,Denver Nuggets,123,RG
http://www.basketball-reference.com/boxscores/201103210MEM.html,201103210MEM,UTA,Utah Jazz,85,MEM,Memphis Grizzlies,103,RG
http://www.basketball-reference.com/boxscores/201103210NJN.html,201103210NJN,IND,Indiana Pacers,102,NJN,New Jersey Nets,98,RG
http://www.basketball-reference.com/boxscores/201103210NYK.html,201103210NYK,BOS,Boston Celtics,96,NYK,New York Knicks,86,RG
http://www.basketball-reference.com/boxscores/201103210SAS.html,201103210SAS,GSW,Golden State Warriors,96,SAS,San Antonio Spurs,111,RG
http://www.basketball-reference.com/boxscores/201103220ATL.html,201103220ATL,CHI,Chicago Bulls,114,ATL,Atlanta Hawks,81,RG
http://www.basketball-reference.com/boxscores/201103220LAL.html,201103220LAL,PHO,Phoenix Suns,137,LAL,Los Angeles Lakers,139,3OT
http://www.basketball-reference.com/boxscores/201103220POR.html,201103220POR,WAS,Washington Wizards,76,POR,Portland Trail Blazers,111,RG
http://www.basketball-reference.com/boxscores/201103230BOS.html,201103230BOS,MEM,Memphis Grizzlies,90,BOS,Boston Celtics,87,RG
http://www.basketball-reference.com/boxscores/201103230CHA.html,201103230CHA,IND,Indiana Pacers,111,CHA,Charlotte Bobcats,88,RG
http://www.basketball-reference.com/boxscores/201103230CLE.html,201103230CLE,NJN,New Jersey Nets,98,CLE,Cleveland Cavaliers,94,OT
http://www.basketball-reference.com/boxscores/201103230DEN.html,201103230DEN,SAS,San Antonio Spurs,112,DEN,Denver Nuggets,115,RG
http://www.basketball-reference.com/boxscores/201103230DET.html,201103230DET,MIA,Miami Heat,100,DET,Detroit Pistons,94,RG
http://www.basketball-reference.com/boxscores/201103230HOU.html,201103230HOU,GSW,Golden State Warriors,112,HOU,Houston Rockets,131,RG
http://www.basketball-reference.com/boxscores/201103230LAC.html,201103230LAC,WAS,Washington Wizards,119,LAC,Los Angeles Clippers,127,2OT
http://www.basketball-reference.com/boxscores/201103230MIL.html,201103230MIL,SAC,Sacramento Kings,97,MIL,Milwaukee Bucks,90,RG
http://www.basketball-reference.com/boxscores/201103230NYK.html,201103230NYK,ORL,Orlando Magic,111,NYK,New York Knicks,99,RG
http://www.basketball-reference.com/boxscores/201103230OKC.html,201103230OKC,UTA,Utah Jazz,94,OKC,Oklahoma City Thunder,106,RG
http://www.basketball-reference.com/boxscores/201103230PHI.html,201103230PHI,ATL,Atlanta Hawks,100,PHI,Philadelphia 76ers,105,RG
http://www.basketball-reference.com/boxscores/201103230PHO.html,201103230PHO,TOR,Toronto Raptors,106,PHO,Phoenix Suns,114,RG
http://www.basketball-reference.com/boxscores/201103240DAL.html,201103240DAL,MIN,Minnesota Timberwolves,96,DAL,Dallas Mavericks,104,RG
http://www.basketball-reference.com/boxscores/201103240UTA.html,201103240UTA,NOH,New Orleans Hornets,121,UTA,Utah Jazz,117,OT
http://www.basketball-reference.com/boxscores/201103250BOS.html,201103250BOS,CHA,Charlotte Bobcats,83,BOS,Boston Celtics,81,RG
http://www.basketball-reference.com/boxscores/201103250CHI.html,201103250CHI,MEM,Memphis Grizzlies,96,CHI,Chicago Bulls,99,RG
http://www.basketball-reference.com/boxscores/201103250CLE.html,201103250CLE,DET,Detroit Pistons,91,CLE,Cleveland Cavaliers,97,RG
http://www.basketball-reference.com/boxscores/201103250DEN.html,201103250DEN,WAS,Washington Wizards,94,DEN,Denver Nuggets,114,RG
http://www.basketball-reference.com/boxscores/201103250GSW.html,201103250GSW,TOR,Toronto Raptors,100,GSW,Golden State Warriors,138,RG
http://www.basketball-reference.com/boxscores/201103250IND.html,201103250IND,SAC,Sacramento Kings,110,IND,Indiana Pacers,93,RG
http://www.basketball-reference.com/boxscores/201103250LAL.html,201103250LAL,LAC,Los Angeles Clippers,104,LAL,Los Angeles Lakers,112,RG
http://www.basketball-reference.com/boxscores/201103250MIA.html,201103250MIA,PHI,Philadelphia 76ers,99,MIA,Miami Heat,111,RG
http://www.basketball-reference.com/boxscores/201103250NYK.html,201103250NYK,MIL,Milwaukee Bucks,102,NYK,New York Knicks,96,RG
http://www.basketball-reference.com/boxscores/201103250OKC.html,201103250OKC,MIN,Minnesota Timberwolves,103,OKC,Oklahoma City Thunder,111,RG
http://www.basketball-reference.com/boxscores/201103250ORL.html,201103250ORL,NJN,New Jersey Nets,85,ORL,Orlando Magic,95,RG
http://www.basketball-reference.com/boxscores/201103250PHO.html,201103250PHO,NOH,New Orleans Hornets,106,PHO,Phoenix Suns,100,RG
http://www.basketball-reference.com/boxscores/201103250POR.html,201103250POR,SAS,San Antonio Spurs,96,POR,Portland Trail Blazers,98,RG
http://www.basketball-reference.com/boxscores/201103260ATL.html,201103260ATL,NJN,New Jersey Nets,87,ATL,Atlanta Hawks,98,RG
http://www.basketball-reference.com/boxscores/201103260CHA.html,201103260CHA,NYK,New York Knicks,106,CHA,Charlotte Bobcats,114,RG
http://www.basketball-reference.com/boxscores/201103260DET.html,201103260DET,IND,Indiana Pacers,88,DET,Detroit Pistons,100,RG
http://www.basketball-reference.com/boxscores/201103260LAC.html,201103260LAC,TOR,Toronto Raptors,90,LAC,Los Angeles Clippers,94,RG
http://www.basketball-reference.com/boxscores/201103260MIL.html,201103260MIL,CHI,Chicago Bulls,95,MIL,Milwaukee Bucks,87,RG
http://www.basketball-reference.com/boxscores/201103260UTA.html,201103260UTA,DAL,Dallas Mavericks,94,UTA,Utah Jazz,77,RG
http://www.basketball-reference.com/boxscores/201103270CLE.html,201103270CLE,ATL,Atlanta Hawks,99,CLE,Cleveland Cavaliers,83,RG
http://www.basketball-reference.com/boxscores/201103270GSW.html,201103270GSW,WAS,Washington Wizards,104,GSW,Golden State Warriors,114,RG
http://www.basketball-reference.com/boxscores/201103270LAL.html,201103270LAL,NOH,New Orleans Hornets,84,LAL,Los Angeles Lakers,102,RG
http://www.basketball-reference.com/boxscores/201103270MEM.html,201103270MEM,SAS,San Antonio Spurs,104,MEM,Memphis Grizzlies,111,RG
http://www.basketball-reference.com/boxscores/201103270MIA.html,201103270MIA,HOU,Houston Rockets,119,MIA,Miami Heat,125,RG
http://www.basketball-reference.com/boxscores/201103270MIN.html,201103270MIN,BOS,Boston Celtics,85,MIN,Minnesota Timberwolves,82,RG
http://www.basketball-reference.com/boxscores/201103270OKC.html,201103270OKC,POR,Portland Trail Blazers,90,OKC,Oklahoma City Thunder,99,RG
http://www.basketball-reference.com/boxscores/201103270PHI.html,201103270PHI,SAC,Sacramento Kings,114,PHI,Philadelphia 76ers,111,OT
http://www.basketball-reference.com/boxscores/201103270PHO.html,201103270PHO,DAL,Dallas Mavericks,91,PHO,Phoenix Suns,83,RG
http://www.basketball-reference.com/boxscores/201103280CHA.html,201103280CHA,MIL,Milwaukee Bucks,86,CHA,Charlotte Bobcats,87,RG
http://www.basketball-reference.com/boxscores/201103280CHI.html,201103280CHI,PHI,Philadelphia 76ers,97,CHI,Chicago Bulls,85,RG
http://www.basketball-reference.com/boxscores/201103280IND.html,201103280IND,BOS,Boston Celtics,100,IND,Indiana Pacers,107,RG
http://www.basketball-reference.com/boxscores/201103280NYK.html,201103280NYK,ORL,Orlando Magic,106,NYK,New York Knicks,113,OT
http://www.basketball-reference.com/boxscores/201103280SAS.html,201103280SAS,POR,Portland Trail Blazers,100,SAS,San Antonio Spurs,92,RG
http://www.basketball-reference.com/boxscores/201103280UTA.html,201103280UTA,WAS,Washington Wizards,100,UTA,Utah Jazz,95,OT
http://www.basketball-reference.com/boxscores/201103290CLE.html,201103290CLE,MIA,Miami Heat,90,CLE,Cleveland Cavaliers,102,RG
http://www.basketball-reference.com/boxscores/201103290NJN.html,201103290NJN,HOU,Houston Rockets,112,NJN,New Jersey Nets,87,RG
http://www.basketball-reference.com/boxscores/201103290OKC.html,201103290OKC,GSW,Golden State Warriors,114,OKC,Oklahoma City Thunder,115,OT
http://www.basketball-reference.com/boxscores/201103290SAC.html,201103290SAC,PHO,Phoenix Suns,113,SAC,Sacramento Kings,116,RG
http://www.basketball-reference.com/boxscores/201103300ATL.html,201103300ATL,ORL,Orlando Magic,82,ATL,Atlanta Hawks,85,RG
http://www.basketball-reference.com/boxscores/201103300CHA.html,201103300CHA,CLE,Cleveland Cavaliers,97,CHA,Charlotte Bobcats,98,RG
http://www.basketball-reference.com/boxscores/201103300DEN.html,201103300DEN,SAC,Sacramento Kings,90,DEN,Denver Nuggets,104,RG
http://www.basketball-reference.com/boxscores/201103300IND.html,201103300IND,DET,Detroit Pistons,101,IND,Indiana Pacers,111,RG
http://www.basketball-reference.com/boxscores/201103300LAC.html,201103300LAC,DAL,Dallas Mavericks,106,LAC,Los Angeles Clippers,100,RG
http://www.basketball-reference.com/boxscores/201103300MEM.html,201103300MEM,GSW,Golden State Warriors,91,MEM,Memphis Grizzlies,110,RG
http://www.basketball-reference.com/boxscores/201103300MIN.html,201103300MIN,CHI,Chicago Bulls,108,MIN,Minnesota Timberwolves,91,RG
