Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
94,Mike Conley,PG,24,MEM,62,2174,16.8,.523,.477,.231,.232,1.2,7.4,4.2,29.8,3.3,0.4,14.2,18.3,110,102,3.6,2.8,6.4,.141
95,Brian Cook,PF,31,TOT,32,276,5.8,.396,.367,.102,.510,4.1,22.3,13.1,5.7,1.1,1.5,9.7,18.7,85,105,-0.3,0.3,-0.1,-0.011
95,Brian Cook,PF,31,LAC,16,121,0.0,.305,.276,.082,.551,3.9,18.9,11.3,2.5,0.9,2.8,7.3,20.9,71,105,-0.4,0.1,-0.2,-0.098
95,Brian Cook,PF,31,WAS,16,155,10.4,.484,.459,.122,.469,4.3,25.0,14.6,8.2,1.3,0.5,11.9,16.9,98,105,0.0,0.2,0.2,.058
96,Daequan Cook,SG,24,OKC,57,989,9.2,.509,.502,.074,.770,1.5,11.9,7.0,2.3,1.1,0.8,5.0,14.7,106,107,0.8,0.8,1.6,.078
97,DeMarcus Cousins,C,21,SAC,64,1950,21.7,.499,.449,.373,.014,14.2,25.9,19.8,9.5,2.4,2.8,12.8,29.7,102,104,2.1,2.2,4.2,.104
98,Jamal Crawford,PG,31,POR,60,1613,15.7,.506,.438,.280,.353,1.1,7.5,4.3,20.5,1.8,0.7,11.8,26.6,102,109,1.6,0.7,2.3,.069
99,Jordan Crawford,SG,23,WAS,64,1753,14.5,.488,.446,.233,.313,2.8,8.1,5.4,19.3,1.7,0.2,12.8,28.1,97,110,0.3,0.7,1.1,.029
100,Dante Cunningham,PF,24,MEM,64,1124,14.9,.538,.516,.247,.007,9.3,16.4,12.8,5.2,2.0,2.5,8.6,13.6,115,101,1.8,1.7,3.4,.147
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
101,Eddy Curry,C,29,MIA,14,83,3.6,.508,.462,.308,.000,6.0,11.1,8.6,1.9,0.0,2.0,25.3,22.1,82,105,-0.2,0.1,-0.1,-0.046
102,Stephen Curry,PG,23,GSW,26,732,21.2,.605,.583,.159,.409,2.3,11.3,6.8,32.3,2.8,0.8,17.0,24.0,112,108,1.8,0.4,2.2,.144
103,Samuel Dalembert,C,30,HOU,65,1446,16.9,.551,.506,.286,.003,12.6,24.1,18.3,3.6,1.3,5.7,15.6,16.6,108,100,1.8,2.3,4.1,.137
104,Erick Dampier,C,36,ATL,15,83,5.5,.125,.125,.000,.000,14.3,21.0,17.7,6.5,0.6,3.7,27.3,6.2,80,100,-0.1,0.1,0.1,.035
105,Marquis Daniels,SG,31,BOS,38,484,8.1,.395,.364,.161,.070,4.1,11.6,8.0,15.5,2.3,1.4,15.5,18.0,82,98,-0.8,0.9,0.1,.008
106,Baron Davis,PG,32,NYK,29,595,10.0,.457,.440,.130,.462,2.5,8.4,5.4,36.2,2.9,0.4,28.1,20.4,88,102,-0.7,0.8,0.2,.014
107,Ed Davis,PF,22,TOR,66,1534,14.2,.544,.513,.316,.003,10.4,23.0,16.7,6.5,1.4,3.4,14.9,13.8,108,101,1.6,2.3,3.9,.121
108,Glen Davis,PF,26,ORL,61,1427,13.2,.466,.423,.313,.026,8.5,18.4,13.4,5.9,1.6,1.0,11.0,22.4,96,103,0.0,1.7,1.7,.057
109,Josh Davis,PF,31,MEM,15,130,11.3,.459,.444,.296,.481,14.1,10.1,12.1,6.8,2.8,0.6,8.9,11.7,112,102,0.2,0.2,0.3,.124
110,Eric Dawson,C,27,SAS,4,39,14.6,.582,.583,.167,.000,15.0,14.4,14.7,0.0,1.3,3.7,18.9,18.6,104,102,0.0,0.1,0.1,.106
111,Austin Daye,SF,23,DET,41,603,7.1,.394,.350,.189,.273,2.7,15.8,9.0,9.2,2.0,2.8,14.0,21.9,80,104,-1.3,0.6,-0.6,-0.050
112,Carlos Delfino,SF,29,MIL,54,1537,11.7,.515,.497,.106,.528,1.4,13.9,7.5,11.9,2.6,0.5,12.2,15.5,102,104,0.8,1.6,2.4,.075
113,Luol Deng,SF,26,CHI,54,2129,14.1,.500,.464,.219,.285,4.1,14.0,9.2,11.7,1.4,1.2,10.4,19.8,105,100,2.3,3.6,5.8,.132
114,Justin Dentmon,PG,26,TOT,6,91,4.8,.424,.393,.214,.500,0.0,10.2,5.1,18.0,1.2,0.0,18.6,19.4,82,107,-0.2,0.1,-0.1,-0.049
114,Justin Dentmon,PG,26,SAS,2,19,1.6,.333,.333,.000,.667,0.0,5.9,3.0,7.4,2.7,0.0,14.3,16.8,67,105,-0.1,0.0,0.0,-0.090
114,Justin Dentmon,PG,26,TOR,4,72,5.7,.446,.409,.273,.455,0.0,11.3,5.7,20.9,0.7,0.0,19.6,20.1,85,108,-0.1,0.0,-0.1,-0.039
115,DeMar DeRozan,SG,22,TOR,63,2206,12.8,.503,.435,.367,.102,2.1,9.0,5.6,10.8,1.2,0.6,10.5,25.0,100,108,1.1,1.4,2.5,.054
116,Boris Diaw,PF,29,TOT,57,1424,11.2,.498,.489,.100,.282,5.5,17.3,11.3,23.8,1.2,1.3,23.4,15.5,95,108,-0.3,0.8,0.6,.019
116,Boris Diaw,PF,29,CHA,37,1018,10.8,.461,.451,.095,.304,5.1,17.3,11.0,26.9,1.0,1.4,22.2,17.2,89,111,-0.8,0.3,-0.5,-0.023
116,Boris Diaw,PF,29,SAS,20,406,12.1,.650,.647,.118,.191,6.6,17.2,12.0,16.1,1.8,1.1,28.1,11.2,113,102,0.5,0.5,1.1,.125
117,Ike Diogu,PF,28,SAS,2,14,-2.9,.347,.000,1.000,.000,0.0,8.0,4.1,0.0,0.0,0.0,25.8,12.6,58,110,0.0,0.0,0.0,-0.116
118,DeSagana Diop,C,30,CHA,27,325,6.8,.347,.357,.143,.000,11.2,19.0,15.0,11.0,1.0,3.0,29.9,9.0,81,109,-0.3,0.2,-0.2,-0.025
119,Keyon Dooling,SG,31,BOS,46,662,6.9,.515,.488,.190,.497,0.6,6.1,3.5,12.1,1.0,0.2,16.1,15.3,93,104,-0.2,0.8,0.6,.042
120,Toney Douglas,PG,25,NYK,38,656,7.1,.393,.371,.090,.403,2.8,10.0,6.3,19.6,2.3,0.1,15.7,24.4,82,103,-1.4,0.8,-0.6,-0.046
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
121,Goran Dragic,PG,25,HOU,66,1752,18.0,.567,.518,.317,.337,3.5,7.7,5.6,32.5,2.5,0.4,18.7,21.8,111,106,3.6,1.5,5.1,.139
122,Jared Dudley,SG,26,PHO,65,2020,15.4,.575,.547,.255,.325,5.4,11.4,8.4,8.8,1.3,0.7,9.1,17.7,115,109,4.0,1.1,5.1,.121
123,Chris Duhon,PG,29,ORL,63,1226,8.4,.558,.542,.103,.586,1.3,8.4,4.8,19.1,1.5,0.6,27.6,11.2,100,107,0.4,0.9,1.3,.051
124,Tim Duncan,C,35,SAS,58,1634,22.5,.531,.492,.340,.005,7.9,28.2,18.3,13.5,1.2,3.9,10.3,26.2,108,99,3.0,2.9,5.9,.174
125,Mike Dunleavy,SF,31,MIL,55,1445,16.6,.597,.557,.284,.413,2.2,13.7,7.8,13.0,1.0,0.4,9.3,19.0,118,108,3.5,0.9,4.4,.146
126,Kevin Durant,SF,23,OKC,66,2546,26.2,.610,.547,.386,.265,1.9,20.4,11.8,17.5,1.8,2.2,14.0,31.3,114,101,8.5,3.7,12.2,.230
127,Jerome Dyson,PG,24,NOH,9,180,11.3,.525,.406,.750,.167,1.3,11.1,6.3,16.2,3.3,0.9,23.9,22.0,91,103,-0.1,0.2,0.1,.026
128,Devin Ebanks,SG,22,LAL,24,396,8.3,.465,.416,.393,.101,7.7,7.6,7.6,4.6,1.5,1.1,14.7,14.2,96,107,0.0,0.3,0.3,.033
